#Lifetime: [Merged]
#Mi Jan 9 21:11:59 2019
# Channel-Resolution: 5.0000ps
# Total Counts: 2387807[#]
channel	counts
0	2
1	0
2	0
3	1
4	0
5	0
6	0
7	1
8	0
9	0
10	2
11	0
12	0
13	0
14	1
15	0
16	1
17	1
18	0
19	2
20	0
21	0
22	1
23	0
24	2
25	1
26	1
27	1
28	0
29	2
30	0
31	0
32	1
33	0
34	0
35	0
36	0
37	1
38	1
39	0
40	1
41	0
42	0
43	0
44	0
45	1
46	0
47	0
48	0
49	0
50	1
51	0
52	1
53	2
54	0
55	1
56	1
57	1
58	1
59	1
60	1
61	2
62	0
63	1
64	2
65	1
66	1
67	1
68	0
69	2
70	0
71	0
72	2
73	1
74	0
75	1
76	0
77	0
78	1
79	0
80	0
81	4
82	3
83	0
84	1
85	0
86	0
87	1
88	0
89	1
90	0
91	0
92	0
93	1
94	0
95	0
96	0
97	5
98	0
99	0
100	2
101	1
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	1
110	0
111	0
112	1
113	0
114	1
115	0
116	0
117	1
118	2
119	1
120	0
121	1
122	1
123	1
124	0
125	0
126	1
127	1
128	0
129	0
130	0
131	0
132	1
133	1
134	1
135	0
136	0
137	0
138	1
139	0
140	0
141	1
142	1
143	1
144	0
145	0
146	0
147	1
148	2
149	1
150	0
151	0
152	1
153	0
154	2
155	1
156	1
157	0
158	0
159	1
160	0
161	0
162	1
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	1
173	1
174	0
175	0
176	1
177	1
178	2
179	0
180	0
181	1
182	0
183	1
184	0
185	2
186	1
187	0
188	0
189	0
190	3
191	0
192	1
193	0
194	0
195	0
196	1
197	1
198	0
199	0
200	0
201	1
202	2
203	0
204	1
205	1
206	0
207	0
208	0
209	1
210	1
211	2
212	2
213	0
214	0
215	1
216	0
217	1
218	1
219	0
220	0
221	1
222	2
223	1
224	1
225	0
226	1
227	0
228	1
229	2
230	1
231	1
232	0
233	0
234	0
235	0
236	0
237	1
238	2
239	2
240	0
241	0
242	1
243	0
244	0
245	0
246	1
247	1
248	0
249	2
250	1
251	1
252	0
253	1
254	0
255	2
256	0
257	0
258	3
259	1
260	0
261	0
262	0
263	0
264	0
265	1
266	0
267	1
268	0
269	0
270	0
271	1
272	0
273	2
274	0
275	2
276	1
277	1
278	1
279	2
280	0
281	1
282	1
283	0
284	1
285	0
286	0
287	0
288	1
289	2
290	0
291	0
292	0
293	0
294	2
295	0
296	2
297	1
298	0
299	1
300	1
301	0
302	1
303	2
304	0
305	1
306	3
307	1
308	1
309	0
310	1
311	1
312	0
313	1
314	0
315	0
316	2
317	0
318	0
319	1
320	0
321	0
322	0
323	1
324	0
325	0
326	1
327	1
328	1
329	1
330	0
331	1
332	0
333	0
334	0
335	0
336	1
337	0
338	0
339	1
340	0
341	0
342	1
343	0
344	0
345	0
346	0
347	1
348	0
349	1
350	1
351	1
352	0
353	0
354	0
355	0
356	0
357	1
358	0
359	2
360	1
361	2
362	0
363	2
364	0
365	2
366	1
367	0
368	0
369	0
370	1
371	0
372	2
373	0
374	2
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	1
385	1
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	1
394	0
395	0
396	1
397	2
398	2
399	1
400	0
401	2
402	0
403	0
404	1
405	1
406	1
407	0
408	0
409	0
410	1
411	1
412	0
413	0
414	1
415	0
416	1
417	0
418	2
419	1
420	1
421	1
422	0
423	1
424	1
425	0
426	0
427	1
428	2
429	2
430	0
431	1
432	1
433	0
434	0
435	0
436	1
437	0
438	0
439	0
440	0
441	0
442	0
443	1
444	1
445	0
446	1
447	0
448	0
449	2
450	2
451	0
452	0
453	0
454	0
455	1
456	1
457	0
458	1
459	1
460	1
461	2
462	0
463	0
464	0
465	2
466	1
467	1
468	1
469	1
470	0
471	2
472	1
473	0
474	0
475	1
476	0
477	1
478	1
479	1
480	0
481	0
482	1
483	0
484	2
485	2
486	0
487	0
488	0
489	1
490	0
491	0
492	2
493	0
494	0
495	0
496	0
497	1
498	0
499	2
500	0
501	0
502	1
503	1
504	2
505	0
506	0
507	0
508	0
509	0
510	1
511	0
512	2
513	0
514	1
515	1
516	0
517	0
518	0
519	1
520	0
521	0
522	1
523	0
524	0
525	0
526	2
527	0
528	0
529	0
530	1
531	1
532	0
533	0
534	1
535	0
536	0
537	0
538	1
539	0
540	0
541	1
542	0
543	0
544	0
545	0
546	2
547	1
548	1
549	1
550	0
551	0
552	0
553	1
554	0
555	1
556	1
557	0
558	0
559	0
560	0
561	1
562	2
563	0
564	1
565	0
566	1
567	1
568	1
569	1
570	2
571	1
572	1
573	0
574	1
575	0
576	0
577	2
578	1
579	1
580	0
581	0
582	0
583	1
584	2
585	1
586	0
587	0
588	2
589	0
590	0
591	0
592	0
593	1
594	0
595	2
596	0
597	0
598	1
599	1
600	0
601	2
602	0
603	1
604	0
605	0
606	0
607	0
608	1
609	1
610	1
611	0
612	0
613	0
614	0
615	1
616	0
617	0
618	1
619	0
620	1
621	0
622	0
623	0
624	2
625	0
626	0
627	0
628	0
629	2
630	2
631	0
632	0
633	0
634	1
635	0
636	1
637	0
638	0
639	0
640	1
641	0
642	1
643	0
644	0
645	1
646	1
647	1
648	1
649	1
650	0
651	3
652	0
653	1
654	1
655	0
656	0
657	0
658	2
659	3
660	2
661	1
662	0
663	2
664	1
665	0
666	0
667	0
668	0
669	1
670	0
671	0
672	1
673	0
674	1
675	1
676	0
677	1
678	2
679	0
680	0
681	0
682	0
683	1
684	1
685	1
686	0
687	0
688	0
689	0
690	0
691	1
692	0
693	2
694	1
695	0
696	2
697	0
698	2
699	1
700	0
701	0
702	0
703	3
704	0
705	1
706	0
707	1
708	0
709	0
710	0
711	0
712	3
713	0
714	1
715	0
716	0
717	0
718	1
719	0
720	2
721	4
722	1
723	0
724	0
725	1
726	2
727	0
728	0
729	0
730	1
731	0
732	0
733	0
734	1
735	0
736	0
737	0
738	0
739	2
740	0
741	0
742	0
743	0
744	2
745	2
746	2
747	1
748	1
749	0
750	0
751	1
752	1
753	0
754	0
755	1
756	1
757	0
758	0
759	1
760	0
761	0
762	0
763	0
764	2
765	1
766	0
767	2
768	0
769	0
770	1
771	1
772	1
773	0
774	0
775	0
776	0
777	0
778	0
779	0
780	0
781	1
782	0
783	0
784	0
785	0
786	0
787	1
788	1
789	0
790	0
791	1
792	0
793	0
794	0
795	0
796	0
797	0
798	0
799	0
800	2
801	2
802	0
803	0
804	0
805	0
806	0
807	0
808	1
809	1
810	1
811	1
812	1
813	0
814	1
815	0
816	1
817	0
818	0
819	2
820	1
821	0
822	0
823	1
824	0
825	0
826	1
827	1
828	0
829	1
830	0
831	1
832	1
833	0
834	0
835	0
836	2
837	0
838	1
839	0
840	1
841	0
842	1
843	1
844	3
845	2
846	0
847	0
848	1
849	0
850	0
851	1
852	0
853	1
854	0
855	0
856	0
857	0
858	0
859	0
860	0
861	2
862	0
863	0
864	1
865	2
866	0
867	0
868	1
869	1
870	1
871	0
872	0
873	0
874	0
875	1
876	1
877	0
878	0
879	1
880	0
881	1
882	1
883	0
884	1
885	0
886	0
887	0
888	0
889	0
890	1
891	1
892	0
893	0
894	0
895	0
896	0
897	1
898	2
899	1
900	1
901	0
902	0
903	0
904	1
905	2
906	0
907	1
908	1
909	0
910	0
911	1
912	0
913	0
914	0
915	0
916	0
917	0
918	3
919	0
920	1
921	2
922	1
923	0
924	0
925	0
926	0
927	0
928	2
929	4
930	1
931	0
932	0
933	0
934	3
935	0
936	0
937	1
938	1
939	0
940	0
941	1
942	2
943	0
944	0
945	1
946	0
947	1
948	1
949	2
950	0
951	0
952	0
953	0
954	1
955	0
956	0
957	2
958	0
959	0
960	0
961	0
962	1
963	1
964	1
965	0
966	0
967	1
968	0
969	2
970	1
971	1
972	1
973	1
974	1
975	1
976	0
977	2
978	3
979	1
980	1
981	0
982	0
983	0
984	0
985	1
986	0
987	0
988	1
989	0
990	1
991	1
992	0
993	1
994	0
995	0
996	1
997	0
998	0
999	0
1000	2
1001	1
1002	0
1003	0
1004	0
1005	0
1006	0
1007	0
1008	0
1009	0
1010	0
1011	0
1012	0
1013	1
1014	1
1015	2
1016	0
1017	1
1018	0
1019	0
1020	0
1021	1
1022	0
1023	0
1024	3
1025	0
1026	1
1027	0
1028	2
1029	0
1030	0
1031	0
1032	0
1033	0
1034	0
1035	1
1036	0
1037	0
1038	0
1039	0
1040	0
1041	0
1042	1
1043	0
1044	0
1045	1
1046	0
1047	0
1048	0
1049	0
1050	1
1051	1
1052	0
1053	0
1054	1
1055	0
1056	0
1057	0
1058	0
1059	1
1060	1
1061	0
1062	0
1063	1
1064	1
1065	0
1066	1
1067	0
1068	0
1069	2
1070	1
1071	1
1072	0
1073	0
1074	0
1075	1
1076	0
1077	0
1078	0
1079	1
1080	2
1081	0
1082	2
1083	1
1084	0
1085	0
1086	2
1087	1
1088	0
1089	0
1090	1
1091	0
1092	0
1093	0
1094	2
1095	0
1096	1
1097	0
1098	3
1099	0
1100	0
1101	0
1102	1
1103	0
1104	1
1105	0
1106	0
1107	0
1108	0
1109	0
1110	1
1111	0
1112	0
1113	0
1114	1
1115	0
1116	0
1117	0
1118	0
1119	1
1120	0
1121	0
1122	0
1123	1
1124	0
1125	0
1126	1
1127	1
1128	2
1129	2
1130	1
1131	1
1132	1
1133	0
1134	2
1135	0
1136	1
1137	1
1138	0
1139	0
1140	1
1141	0
1142	0
1143	0
1144	2
1145	1
