#Lifetime: [Merged]
#Di Jan 8 14:34:43 2019
# Channel-Resolution: 5.0000ps
# Total Counts: 3518615[#]
channel	counts
0	14
1	12
2	9
3	13
4	7
5	12
6	4
7	11
8	18
9	9
10	12
11	11
12	8
13	18
14	14
15	7
16	16
17	4
18	8
19	12
20	14
21	12
22	9
23	20
24	10
25	17
26	14
27	14
28	12
29	19
30	8
31	18
32	12
33	9
34	11
35	13
36	11
37	17
38	12
39	14
40	10
41	9
42	10
43	10
44	12
45	26
46	5
47	15
48	14
49	11
50	8
51	12
52	10
53	15
54	14
55	9
56	13
57	9
58	15
59	16
60	14
61	19
62	11
63	7
64	8
65	9
66	10
67	20
68	14
69	11
70	14
71	8
72	16
73	9
74	14
75	14
76	12
77	12
78	6
79	8
80	17
81	8
82	11
83	9
84	15
85	17
86	7
87	12
88	10
89	9
90	12
91	13
92	13
93	16
94	8
95	13
96	8
97	16
98	17
99	17
100	11
101	11
102	12
103	13
104	12
105	13
106	14
107	8
108	18
109	12
110	10
111	23
112	18
113	15
114	12
115	7
116	13
117	16
118	11
119	16
120	11
121	15
122	13
123	19
124	8
125	14
126	7
127	17
128	8
129	10
130	18
131	16
132	13
133	17
134	13
135	8
136	14
137	12
138	9
139	13
140	16
141	22
142	17
143	15
144	10
145	13
146	13
147	9
148	14
149	16
150	8
151	14
152	8
153	9
154	13
155	13
156	10
157	7
158	11
159	3
160	9
161	16
162	10
163	25
164	10
165	11
166	19
167	12
168	14
169	12
170	10
171	15
172	12
173	8
174	10
175	14
176	8
177	15
178	12
179	12
180	13
181	10
182	22
183	14
184	9
185	8
186	9
187	9
188	6
189	16
190	11
191	20
192	18
193	17
194	15
195	14
196	15
197	9
198	8
199	16
200	8
201	15
202	20
203	11
204	13
205	9
206	9
207	17
208	13
209	19
210	13
211	14
212	14
213	14
214	16
215	17
216	14
217	16
218	8
219	14
220	11
221	23
222	16
223	11
224	11
225	8
226	14
227	12
228	18
229	19
230	11
231	12
232	4
233	12
234	12
235	10
236	10
237	10
238	8
239	12
240	13
241	14
242	15
243	10
244	14
245	15
246	12
247	8
248	7
249	11
250	16
251	9
252	13
253	11
254	10
255	9
256	12
257	10
258	14
259	16
260	14
261	17
262	14
263	15
264	11
265	12
266	10
267	12
268	12
269	9
270	10
271	11
272	12
273	11
274	25
275	16
276	11
277	12
278	14
279	17
280	9
281	8
282	10
283	15
284	10
285	11
286	17
287	16
288	9
289	8
290	9
291	21
292	12
293	13
294	11
295	10
296	13
297	12
298	11
299	14
300	11
301	10
302	9
303	16
304	12
305	13
306	16
307	10
308	16
309	14
310	11
311	10
312	15
313	6
314	14
315	15
316	14
317	13
318	12
319	9
320	10
321	15
322	17
323	17
324	16
325	10
326	11
327	8
328	7
329	18
330	18
331	20
332	11
333	8
334	12
335	11
336	13
337	13
338	21
339	8
340	9
341	16
342	9
343	12
344	8
345	16
346	14
347	12
348	10
349	11
350	14
351	22
352	18
353	16
354	8
355	10
356	21
357	13
358	10
359	6
360	4
361	14
362	20
363	15
364	23
365	13
366	11
367	10
368	3
369	16
370	10
371	13
372	16
373	11
374	17
375	9
376	16
377	13
378	7
379	15
380	14
381	10
382	18
383	10
384	10
385	11
386	6
387	10
388	17
389	9
390	19
391	9
392	8
393	7
394	12
395	17
396	14
397	14
398	10
399	16
400	13
401	5
402	17
403	8
404	8
405	16
406	10
407	8
408	14
409	18
410	19
411	10
412	10
413	12
414	13
415	16
416	7
417	9
418	16
419	21
420	13
421	9
422	7
423	17
424	11
425	18
426	12
427	13
428	16
429	6
430	11
431	11
432	13
433	14
434	8
435	16
436	11
437	14
438	10
439	14
440	9
441	9
442	15
443	16
444	12
445	8
446	14
447	14
448	10
449	14
450	10
451	13
452	9
453	13
454	10
455	13
456	16
457	10
458	10
459	16
460	16
461	12
462	12
463	15
464	12
465	18
466	14
467	11
468	15
469	10
470	12
471	16
472	6
473	15
474	12
475	18
476	14
477	9
478	19
479	14
480	10
481	10
482	13
483	10
484	11
485	14
486	12
487	11
488	6
489	11
490	7
491	8
492	6
493	14
494	11
495	6
496	8
497	8
498	10
499	15
500	12
501	9
502	14
503	11
504	14
505	10
506	14
507	13
508	11
509	10
510	14
511	11
512	13
513	11
514	11
515	10
516	6
517	13
518	9
519	8
520	13
521	8
522	10
523	9
524	12
525	9
526	11
527	9
528	11
529	10
530	11
531	12
532	14
533	10
534	10
535	17
536	11
537	11
538	11
539	12
540	7
541	13
542	19
543	13
544	7
545	16
546	8
547	10
548	10
549	8
550	14
551	17
552	6
553	12
554	20
555	6
556	9
557	11
558	14
559	17
560	17
561	12
562	14
563	13
564	14
565	12
566	12
567	7
568	11
569	7
570	11
571	10
572	12
573	9
574	10
575	10
576	16
577	11
578	10
579	12
580	12
581	13
582	6
583	15
584	11
585	6
586	14
587	14
588	10
589	10
590	16
591	13
592	11
593	17
594	16
595	12
596	14
597	10
598	13
599	12
600	11
601	15
602	12
603	10
604	19
605	15
606	8
607	5
608	7
609	18
610	13
611	15
612	10
613	14
614	8
615	10
616	9
617	13
618	11
619	21
620	13
621	7
622	7
623	13
624	14
625	16
626	8
627	9
628	15
629	5
630	15
631	18
632	20
633	9
634	15
635	15
636	17
637	15
638	12
639	13
640	9
641	5
642	6
643	21
644	22
645	9
646	8
647	13
648	11
649	15
650	9
651	9
652	6
653	14
654	10
655	13
656	21
657	10
658	7
659	15
660	12
661	7
662	10
663	12
664	11
665	9
666	18
667	12
668	8
669	9
670	12
671	15
672	14
673	12
674	13
675	13
676	14
677	14
678	13
679	11
680	16
681	15
682	14
683	12
684	9
685	16
686	8
687	15
688	14
689	19
690	6
691	17
692	13
693	11
694	13
695	13
696	14
697	16
698	9
699	11
700	11
701	6
702	11
703	15
704	8
705	14
706	13
707	16
708	10
709	5
710	14
711	15
712	7
713	9
714	18
715	5
716	16
717	9
718	15
719	10
720	10
721	14
722	14
723	12
724	12
725	10
726	10
727	10
728	13
729	8
730	4
731	12
732	17
733	13
734	9
735	12
736	7
737	6
738	7
739	16
740	11
741	12
742	24
743	16
744	7
745	8
746	12
747	14
748	16
749	17
750	17
751	11
752	12
753	14
754	12
755	10
756	11
757	14
758	9
759	11
760	11
761	13
762	17
763	17
764	10
765	15
766	8
767	15
768	14
769	12
770	10
771	13
772	9
773	10
774	10
775	15
776	18
777	14
778	14
779	6
780	14
781	19
782	8
783	9
784	10
785	5
786	16
787	10
788	8
789	15
790	17
791	21
792	11
793	14
794	12
795	15
796	15
797	16
798	16
799	9
800	18
801	11
802	14
803	15
804	10
805	11
806	16
807	14
808	9
809	10
810	10
811	13
812	14
813	10
814	15
815	15
816	17
817	10
818	17
819	14
820	16
821	13
822	12
823	13
824	13
825	7
826	11
827	11
828	10
829	12
830	5
831	10
832	6
833	12
834	11
835	16
836	15
837	8
838	10
839	6
840	15
841	11
842	12
843	7
844	14
845	16
846	12
847	10
848	13
849	15
850	11
851	11
852	13
853	12
854	12
855	7
856	12
857	16
858	12
859	8
860	12
861	12
862	12
863	11
864	16
865	10
866	11
867	12
868	13
869	15
870	11
871	13
872	11
873	11
874	12
875	15
876	8
877	19
878	10
879	9
880	7
881	16
882	10
883	12
884	8
885	7
886	12
887	13
888	11
889	12
890	13
891	14
892	14
893	19
894	17
895	9
896	15
897	15
898	8
899	9
900	11
901	5
902	12
903	13
904	11
905	9
906	10
907	13
908	14
909	17
910	15
911	15
912	15
913	10
914	9
915	8
916	14
917	8
918	14
919	9
920	15
921	16
922	13
923	8
924	9
925	16
926	11
927	8
928	11
929	9
930	8
931	14
932	15
933	10
934	12
935	7
936	15
937	12
938	13
939	13
940	10
941	10
942	15
943	7
944	13
945	9
946	13
947	16
948	19
949	12
950	10
951	15
952	14
953	14
954	5
955	15
956	13
957	9
958	12
959	8
960	14
961	10
962	12
963	10
964	13
965	13
966	13
967	12
968	14
969	10
970	8
971	16
972	19
973	15
974	10
975	7
976	11
977	18
978	5
979	6
980	18
981	15
982	12
983	10
984	10
985	16
986	12
987	14
988	15
989	16
990	11
991	17
992	15
993	13
994	11
995	10
996	13
997	13
998	13
999	15
1000	15
1001	8
1002	13
1003	17
1004	6
1005	10
1006	8
1007	9
1008	8
1009	12
1010	16
1011	14
1012	8
1013	11
1014	7
1015	8
1016	8
1017	11
1018	20
1019	11
1020	13
1021	16
1022	14
1023	13
1024	12
1025	8
1026	20
1027	23
1028	14
1029	10
1030	14
1031	8
1032	9
1033	12
1034	13
1035	12
1036	13
1037	13
1038	9
1039	14
1040	12
1041	15
1042	13
1043	17
1044	16
1045	10
1046	12
1047	12
1048	9
1049	11
1050	13
1051	11
1052	14
1053	14
1054	12
1055	10
1056	12
1057	13
1058	8
1059	9
1060	3
1061	8
1062	15
1063	12
1064	14
1065	14
1066	11
1067	9
1068	10
1069	11
1070	10
1071	9
1072	15
1073	12
1074	14
1075	5
1076	18
1077	7
1078	13
1079	12
1080	13
1081	10
1082	8
1083	13
1084	11
1085	13
1086	11
1087	13
1088	15
1089	16
1090	7
1091	14
1092	11
1093	12
1094	14
1095	5
1096	11
1097	11
1098	10
1099	18
1100	12
1101	4
1102	11
1103	12
1104	7
1105	15
1106	13
1107	18
1108	9
1109	11
1110	10
1111	15
1112	12
1113	10
1114	17
1115	12
1116	8
1117	14
1118	10
1119	16
1120	11
1121	16
1122	10
1123	14
1124	21
1125	12
1126	7
1127	16
1128	17
1129	13
1130	15
1131	9
1132	8
1133	11
1134	13
1135	17
1136	7
1137	11
1138	13
1139	14
1140	5
1141	12
1142	15
1143	12
1144	15
1145	14
1146	11
1147	11
1148	14
1149	13
1150	8
1151	11
1152	7
1153	10
1154	10
1155	16
1156	11
1157	17
1158	8
1159	9
1160	11
1161	9
1162	10
1163	10
1164	17
1165	10
1166	8
1167	10
1168	11
1169	10
1170	15
1171	12
1172	13
1173	14
1174	16
1175	11
1176	7
1177	6
1178	8
1179	14
1180	15
1181	8
1182	11
1183	15
1184	13
1185	13
1186	12
1187	18
1188	18
1189	16
1190	9
1191	18
1192	16
1193	9
1194	13
1195	9
1196	11
1197	12
1198	13
1199	12
1200	11
1201	14
1202	11
1203	11
1204	9
1205	16
1206	13
1207	12
1208	10
1209	15
1210	20
1211	7
1212	16
1213	12
1214	10
1215	14
1216	13
1217	15
1218	13
1219	15
1220	10
1221	14
1222	12
1223	16
1224	13
1225	9
1226	10
1227	18
1228	14
1229	9
1230	10
1231	11
1232	8
1233	8
1234	8
1235	18
1236	8
1237	7
1238	6
1239	17
1240	10
1241	16
1242	12
1243	9
1244	7
1245	13
1246	17
1247	11
1248	11
1249	6
1250	12
1251	13
1252	8
1253	10
1254	17
1255	20
1256	16
1257	13
1258	13
1259	9
1260	12
1261	13
1262	9
1263	14
1264	12
1265	12
1266	8
1267	13
1268	13
1269	12
1270	8
1271	16
1272	8
1273	13
1274	13
1275	12
1276	14
1277	13
1278	18
1279	12
1280	17
1281	16
1282	17
1283	11
1284	7
1285	9
1286	12
1287	13
1288	17
1289	7
1290	4
1291	11
1292	16
1293	17
1294	15
1295	10
1296	11
1297	13
1298	11
1299	13
1300	11
1301	11
1302	9
1303	10
1304	12
1305	14
1306	10
1307	14
1308	15
1309	8
1310	13
1311	20
1312	14
1313	8
1314	8
1315	11
1316	12
1317	18
1318	11
1319	9
1320	17
1321	11
1322	11
1323	11
1324	14
1325	17
1326	14
1327	12
1328	5
1329	5
1330	8
1331	14
1332	13
1333	7
1334	11
1335	14
1336	4
1337	15
1338	11
1339	12
1340	17
1341	15
1342	13
1343	12
1344	20
1345	15
1346	7
1347	15
1348	16
1349	6
1350	17
1351	8
1352	13
1353	15
1354	9
1355	13
1356	5
1357	14
1358	9
1359	17
1360	13
1361	15
1362	22
1363	13
1364	17
1365	7
1366	19
1367	10
1368	16
1369	14
1370	10
1371	8
1372	15
1373	6
1374	18
1375	13
1376	15
1377	10
