#Lifetime: [Channel1 - Channel2]
#So Mai 27 22:06:25 2018
# Channel-Resolution: 5.0000ps
# Total Counts: 5373652[#]
channel	counts
0	18
1	20
2	25
3	28
4	22
5	18
6	20
7	21
8	29
9	26
10	33
11	21
12	26
13	18
14	27
15	32
16	16
17	15
18	18
19	24
20	11
21	14
22	23
23	22
24	23
25	18
26	29
27	16
28	17
29	13
30	24
31	30
32	28
33	25
34	18
35	15
36	24
37	22
38	23
39	21
40	14
41	24
42	17
43	19
44	15
45	28
46	19
47	23
48	27
49	14
50	24
51	23
52	28
53	21
54	28
55	17
56	24
57	20
58	22
59	15
60	31
61	22
62	16
63	26
64	23
65	25
66	28
67	31
68	18
69	19
70	28
71	22
72	22
73	24
74	20
75	32
76	21
77	26
78	28
79	18
80	24
81	22
82	27
83	22
84	28
85	22
86	14
87	23
88	20
89	19
90	22
91	23
92	12
93	14
94	27
95	25
96	26
97	22
98	24
99	22
100	18
101	25
102	13
103	16
104	20
105	23
106	25
107	22
108	24
109	22
110	20
111	26
112	25
113	22
114	25
115	23
116	20
117	20
118	21
119	16
120	28
121	20
122	18
123	26
124	23
125	27
126	22
127	27
128	24
129	17
130	34
131	22
132	25
133	21
134	32
135	26
136	26
137	26
138	28
139	15
140	20
141	19
142	21
143	21
144	23
145	25
146	27
147	19
148	19
149	28
150	20
151	29
152	23
153	31
154	25
155	20
156	19
157	15
158	26
159	17
160	15
161	18
162	20
163	25
164	16
165	27
166	16
167	29
168	21
169	15
170	25
171	24
172	23
173	24
174	20
175	19
176	24
177	22
178	17
179	22
180	21
181	20
182	21
183	26
184	22
185	22
186	17
187	30
188	33
189	20
190	23
191	22
192	22
193	19
194	25
195	24
196	18
197	16
198	26
199	23
200	19
201	14
202	17
203	30
204	16
205	27
206	24
207	26
208	22
209	28
210	24
211	28
212	25
213	31
214	32
215	20
216	19
217	21
218	23
219	22
220	25
221	22
222	24
223	19
224	23
225	27
226	20
227	25
228	21
229	17
230	20
231	26
232	19
233	20
234	26
235	25
236	21
237	20
238	25
239	22
240	24
241	18
242	17
243	30
244	14
245	21
246	15
247	17
248	24
249	19
250	26
251	16
252	27
253	23
254	24
255	19
256	21
257	16
258	18
259	17
260	25
261	24
262	21
263	19
264	26
265	18
266	27
267	17
268	20
269	19
270	22
271	24
272	27
273	31
274	32
275	29
276	20
277	18
278	20
279	25
280	15
281	15
282	31
283	25
284	23
285	25
286	26
287	25
288	23
289	29
290	27
291	18
292	15
293	27
294	20
295	27
296	25
297	19
298	26
299	21
300	26
301	27
302	21
303	31
304	14
305	22
306	25
307	19
308	22
309	21
310	22
311	24
312	27
313	30
314	24
315	18
316	14
317	28
318	24
319	23
320	19
321	24
322	28
323	16
324	17
325	21
326	23
327	18
328	26
329	17
330	24
331	24
332	21
333	23
334	15
335	23
336	36
337	30
338	30
339	21
340	24
341	20
342	27
343	16
344	23
345	20
346	25
347	23
348	23
349	20
350	19
351	33
352	22
353	27
354	21
355	24
356	16
357	15
358	18
359	18
360	32
361	28
362	22
363	16
364	22
365	22
366	25
367	14
368	16
369	26
370	17
371	19
372	27
373	18
374	19
375	24
376	19
377	24
378	12
379	23
380	12
381	25
382	28
383	22
384	13
385	22
386	15
387	17
388	25
389	25
390	26
391	18
392	25
393	24
394	15
395	25
396	19
397	25
398	24
399	28
400	15
401	31
402	15
403	16
404	24
405	20
406	25
407	29
408	15
409	15
410	18
411	29
412	16
413	16
414	24
415	19
416	16
417	27
418	24
419	17
420	20
421	22
422	20
423	24
424	21
425	23
426	23
427	26
428	18
429	27
430	22
431	30
432	20
433	17
434	23
435	16
436	24
437	22
438	16
439	13
440	23
441	25
442	18
443	17
444	25
445	19
446	21
447	15
448	18
449	22
450	20
451	26
452	16
453	20
454	29
455	20
456	29
457	26
458	23
459	28
460	23
461	25
462	18
463	23
464	18
465	27
466	28
467	30
468	31
469	35
470	21
471	16
472	17
473	19
474	22
475	21
476	21
477	20
478	18
479	21
480	29
481	25
482	25
483	16
484	22
485	30
486	21
487	20
488	27
489	19
490	25
491	23
492	23
493	23
494	22
495	18
496	16
497	22
498	15
499	24
500	19
501	18
502	15
503	22
504	29
505	27
506	34
507	33
508	24
509	19
510	21
511	26
512	21
513	19
514	22
515	23
516	28
517	13
518	26
519	16
520	18
521	30
522	23
523	20
524	23
525	27
526	22
527	18
528	13
529	15
530	18
531	21
532	14
533	24
534	25
535	18
536	28
537	25
538	22
539	29
540	20
541	30
542	23
543	24
544	33
545	25
546	11
547	22
548	16
549	20
550	30
551	22
552	31
553	23
554	25
555	20
556	34
557	28
558	24
559	18
560	18
561	18
562	16
563	22
564	20
565	19
566	21
567	24
568	19
569	22
570	24
571	21
572	25
573	23
574	13
575	25
576	22
577	19
578	25
579	22
580	24
581	21
582	21
583	18
584	22
585	22
586	27
587	17
588	19
589	24
590	14
591	18
592	20
593	16
594	23
595	20
596	24
597	26
598	24
599	19
600	20
601	21
602	22
603	18
604	23
605	16
606	17
607	24
608	18
609	16
610	19
611	26
612	29
613	23
614	27
615	20
616	20
617	23
618	27
619	22
620	22
621	10
622	22
623	14
624	26
625	21
626	19
627	19
628	17
629	25
630	26
631	25
632	20
633	28
634	28
635	23
636	22
637	18
638	11
639	25
640	29
641	27
642	18
643	22
644	24
645	30
646	20
647	18
648	22
649	22
650	21
651	24
652	12
653	24
654	17
655	30
656	25
657	22
658	27
659	16
660	25
661	23
662	28
663	21
664	25
665	21
666	19
667	29
668	17
669	25
670	20
671	23
672	17
673	21
674	23
675	27
676	22
677	24
678	19
679	31
680	22
681	28
682	32
683	7
684	22
685	23
686	20
687	17
688	21
689	31
690	21
691	18
692	19
693	22
694	20
695	14
696	16
697	35
698	21
699	22
700	21
701	30
702	22
703	17
704	25
705	18
706	24
707	23
708	26
709	30
710	28
711	32
712	24
713	34
714	27
715	31
716	37
717	37
718	40
719	28
720	39
721	44
722	46
723	51
724	57
725	87
726	73
727	86
728	79
729	111
730	93
731	120
732	153
733	147
734	196
735	198
736	237
737	280
738	293
739	313
740	375
741	396
742	400
743	465
744	516
745	599
746	621
747	684
748	777
749	800
750	1005
751	1042
752	1126
753	1249
754	1335
755	1486
756	1611
757	1772
758	1940
759	2021
760	2263
761	2596
762	2596
763	2897
764	3055
765	3360
766	3564
767	3900
768	4145
769	4374
770	4822
771	5208
772	5512
773	5734
774	6207
775	6595
776	7081
777	7354
778	7961
779	8405
780	8765
781	9091
782	9735
783	10304
784	10766
785	11346
786	11845
787	12282
788	12897
789	13553
790	14144
791	14538
792	15476
793	15982
794	16339
795	16891
796	17621
797	17911
798	18624
799	18762
800	19733
801	20194
802	20809
803	21186
804	21776
805	21864
806	22483
807	23044
808	23570
809	23853
810	24166
811	24675
812	24829
813	25467
814	25419
815	25795
816	26179
817	26308
818	26657
819	26768
820	26922
821	27193
822	27426
823	27349
824	27248
825	27627
826	27539
827	27567
828	27409
829	27659
830	27838
831	27671
832	27414
833	27460
834	27351
835	27339
836	27273
837	27118
838	27062
839	26805
840	26541
841	26537
842	26113
843	25889
844	25636
845	25747
846	25523
847	25039
848	24993
849	24446
850	24275
851	24026
852	23762
853	23641
854	23262
855	23007
856	22959
857	22442
858	22391
859	21790
860	21668
861	21630
862	21397
863	21142
864	20797
865	20379
866	20204
867	20054
868	19674
869	19662
870	19345
871	19072
872	19231
873	18545
874	18416
875	18499
876	17990
877	17578
878	17495
879	17411
880	17161
881	17057
882	16531
883	16422
884	16292
885	16274
886	16036
887	15981
888	15610
889	15643
890	15229
891	15164
892	15244
893	14655
894	14739
895	14570
896	14306
897	14099
898	13895
899	13815
900	14007
901	13401
902	13409
903	13332
904	13120
905	13136
906	13011
907	12525
908	12687
909	12737
910	12480
911	12137
912	12125
913	11920
914	11937
915	11619
916	11520
917	11413
918	11334
919	11287
920	11316
921	11305
922	10973
923	11033
924	10909
925	10674
926	10618
927	10451
928	10489
929	10568
930	10194
931	10122
932	9982
933	10044
934	10044
935	9743
936	9776
937	9645
938	9687
939	9362
940	9501
941	9170
942	9273
943	9166
944	9112
945	9145
946	8872
947	9053
948	8872
949	8655
950	8653
951	8832
952	8691
953	8397
954	8362
955	8402
956	8295
957	8126
958	8095
959	8129
960	7947
961	8001
962	7885
963	7878
964	7743
965	7780
966	7782
967	7680
968	7573
969	7652
970	7489
971	7400
972	7379
973	7421
974	7277
975	7374
976	7094
977	7086
978	7037
979	7025
980	7089
981	6934
982	6983
983	7031
984	6836
985	6706
986	6736
987	6717
988	6716
989	6632
990	6700
991	6565
992	6663
993	6473
994	6376
995	6311
996	6305
997	6287
998	6490
999	6357
1000	6261
1001	6083
1002	6123
1003	6053
1004	6000
1005	5943
1006	5905
1007	6148
1008	5987
1009	5991
1010	5745
1011	5808
1012	5824
1013	5689
1014	5863
1015	5905
1016	5680
1017	5781
1018	5577
1019	5613
1020	5571
1021	5659
1022	5531
1023	5573
1024	5482
1025	5461
1026	5549
1027	5458
1028	5359
1029	5470
1030	5409
1031	5245
1032	5349
1033	5175
1034	5228
1035	5203
1036	5126
1037	5098
1038	5114
1039	5052
1040	5012
1041	5026
1042	4948
1043	4910
1044	4978
1045	4935
1046	4950
1047	4927
1048	4786
1049	4918
1050	4810
1051	4757
1052	4857
1053	4989
1054	4906
1055	4772
1056	4721
1057	4653
1058	4593
1059	4603
1060	4663
1061	4605
1062	4592
1063	4464
1064	4575
1065	4622
1066	4535
1067	4594
1068	4517
1069	4353
1070	4459
1071	4367
1072	4419
1073	4415
1074	4387
1075	4303
1076	4369
1077	4371
1078	4459
1079	4247
1080	4325
1081	4213
1082	4225
1083	4198
1084	4268
1085	4227
1086	4145
1087	4121
1088	4109
1089	4149
1090	4210
1091	4116
1092	4060
1093	4162
1094	3995
1095	3943
1096	3899
1097	3874
1098	3958
1099	3990
1100	3984
1101	3847
1102	3930
1103	3970
1104	3901
1105	3875
1106	3712
1107	3976
1108	3774
1109	3826
1110	3858
1111	3751
1112	3787
1113	3665
1114	3707
1115	3778
1116	3688
1117	3763
1118	3725
1119	3671
1120	3533
1121	3732
1122	3693
1123	3650
1124	3660
1125	3569
1126	3500
1127	3573
1128	3470
1129	3570
1130	3455
1131	3489
1132	3584
1133	3534
1134	3511
1135	3395
1136	3463
1137	3490
1138	3426
1139	3551
1140	3397
1141	3350
1142	3472
1143	3484
1144	3414
1145	3312
1146	3354
1147	3290
1148	3264
1149	3287
1150	3307
1151	3233
1152	3366
1153	3270
1154	3287
1155	3245
1156	3198
1157	3231
1158	3220
1159	3069
1160	3190
1161	3009
1162	3152
1163	3125
1164	3187
1165	3046
1166	3069
1167	3103
1168	3149
1169	3007
1170	3019
1171	3004
1172	2970
1173	2995
1174	3037
1175	3004
1176	3010
1177	3023
1178	2966
1179	2932
1180	2956
1181	2965
1182	2914
1183	2893
1184	2967
1185	2965
1186	2837
1187	2818
1188	2811
1189	2779
1190	2826
1191	2793
1192	2862
1193	2817
1194	2742
1195	2868
1196	2736
1197	2898
1198	2816
1199	2751
1200	2833
1201	2791
1202	2787
1203	2789
1204	2661
1205	2740
1206	2673
1207	2668
1208	2676
1209	2645
1210	2679
1211	2727
1212	2696
1213	2675
1214	2614
1215	2754
1216	2654
1217	2607
1218	2577
1219	2663
1220	2547
1221	2588
1222	2432
1223	2601
1224	2551
1225	2523
1226	2502
1227	2534
1228	2539
1229	2516
1230	2528
1231	2422
1232	2468
1233	2547
1234	2398
1235	2403
1236	2508
1237	2403
1238	2418
1239	2447
1240	2414
1241	2402
1242	2380
1243	2426
1244	2353
1245	2308
1246	2358
1247	2310
1248	2337
1249	2398
1250	2299
1251	2321
1252	2376
1253	2378
1254	2249
1255	2258
1256	2265
1257	2206
1258	2306
1259	2183
1260	2289
1261	2301
1262	2135
1263	2241
1264	2234
1265	2213
1266	2206
1267	2247
1268	2188
1269	2340
1270	2193
1271	2166
1272	2173
1273	2056
1274	2120
1275	2135
1276	2055
1277	2077
1278	2117
1279	2064
1280	2040
1281	2130
1282	2133
1283	2082
1284	2139
1285	2008
1286	2066
1287	2037
1288	1995
1289	2047
1290	2034
1291	2020
1292	2020
1293	2037
1294	1987
1295	2003
1296	2029
1297	1926
1298	1950
1299	2031
1300	1939
1301	1948
1302	1887
1303	1954
1304	1960
1305	1995
1306	1981
1307	1965
1308	1901
1309	1944
1310	1905
1311	1881
1312	1901
1313	1883
1314	1826
1315	1849
1316	1851
1317	1884
1318	1744
1319	1832
1320	1852
1321	1806
1322	1835
1323	1886
1324	1818
1325	1813
1326	1722
1327	1814
1328	1800
1329	1792
1330	1813
1331	1749
1332	1814
1333	1723
1334	1733
1335	1743
1336	1737
1337	1667
1338	1787
1339	1724
1340	1706
1341	1774
1342	1709
1343	1636
1344	1735
1345	1764
1346	1719
1347	1661
1348	1603
1349	1659
1350	1688
1351	1709
1352	1747
1353	1591
1354	1617
1355	1593
1356	1647
1357	1672
1358	1643
1359	1561
1360	1624
1361	1669
1362	1598
1363	1596
1364	1624
1365	1601
1366	1521
1367	1666
1368	1544
1369	1540
1370	1606
1371	1535
1372	1549
1373	1589
1374	1484
1375	1490
1376	1522
1377	1543
1378	1534
1379	1465
1380	1468
1381	1507
1382	1454
1383	1437
1384	1492
1385	1453
1386	1535
1387	1457
1388	1559
1389	1472
1390	1470
1391	1425
1392	1394
1393	1410
1394	1412
1395	1437
1396	1437
1397	1377
1398	1373
1399	1421
1400	1415
1401	1370
1402	1413
1403	1428
1404	1397
1405	1372
1406	1417
1407	1355
1408	1295
1409	1376
1410	1365
1411	1331
1412	1354
1413	1361
1414	1302
1415	1338
1416	1323
1417	1344
1418	1280
1419	1352
1420	1371
1421	1379
1422	1329
1423	1320
1424	1227
1425	1229
1426	1281
1427	1323
1428	1287
1429	1259
1430	1284
1431	1268
1432	1286
1433	1248
1434	1274
1435	1318
1436	1232
1437	1239
1438	1281
1439	1214
1440	1214
1441	1215
1442	1253
1443	1247
1444	1251
1445	1235
1446	1245
1447	1199
1448	1223
1449	1236
1450	1273
1451	1135
1452	1202
1453	1172
1454	1228
1455	1188
1456	1206
1457	1137
1458	1240
1459	1118
1460	1108
1461	1150
1462	1172
1463	1204
1464	1153
1465	1188
1466	1157
1467	1146
1468	1142
1469	1104
1470	1129
1471	1174
1472	1172
1473	1153
1474	1152
1475	1047
1476	1167
1477	1070
1478	1126
1479	1138
1480	1028
1481	1075
1482	1068
1483	1062
1484	1059
1485	1117
1486	1044
1487	1038
1488	1050
1489	1069
1490	1027
1491	1116
1492	1043
1493	1080
1494	1012
1495	1059
1496	1083
1497	1066
1498	1002
1499	1013
1500	1009
1501	1082
1502	1018
1503	1055
1504	985
1505	1015
1506	978
1507	1007
1508	1005
1509	984
1510	1024
1511	983
1512	934
1513	945
1514	1018
1515	984
1516	1029
1517	1014
1518	994
1519	954
1520	1000
1521	951
1522	990
1523	966
1524	991
1525	879
1526	949
1527	964
1528	924
1529	984
1530	902
1531	939
1532	943
1533	947
1534	955
1535	926
1536	914
1537	910
1538	890
1539	865
1540	872
1541	842
1542	829
1543	889
1544	883
1545	812
1546	883
1547	874
1548	868
1549	904
1550	808
1551	866
1552	861
1553	811
1554	899
1555	912
1556	891
1557	918
1558	856
1559	844
1560	841
1561	789
1562	819
1563	844
1564	829
1565	853
1566	824
1567	816
1568	837
1569	814
1570	841
1571	819
1572	821
1573	755
1574	789
1575	785
1576	811
1577	784
1578	750
1579	800
1580	807
1581	788
1582	765
1583	785
1584	753
1585	756
1586	735
1587	850
1588	726
1589	747
1590	791
1591	741
1592	722
1593	697
1594	761
1595	762
1596	733
1597	770
1598	761
1599	735
1600	761
1601	744
1602	739
1603	739
1604	746
1605	746
1606	718
1607	683
1608	748
1609	689
1610	699
1611	735
1612	745
1613	693
1614	735
1615	651
1616	716
1617	710
1618	708
1619	690
1620	699
1621	661
1622	696
1623	684
1624	711
1625	661
1626	716
1627	689
1628	700
1629	698
1630	717
1631	634
1632	638
1633	609
1634	670
1635	629
1636	661
1637	637
1638	613
1639	638
1640	660
1641	590
1642	660
1643	669
1644	605
1645	631
1646	588
1647	605
1648	637
1649	627
1650	641
1651	627
1652	642
1653	591
1654	600
1655	584
1656	626
1657	619
1658	604
1659	610
1660	591
1661	570
1662	590
1663	627
1664	563
1665	578
1666	578
1667	598
1668	614
1669	584
1670	598
1671	606
1672	556
1673	612
1674	549
1675	560
1676	575
1677	561
1678	591
1679	592
1680	594
1681	571
1682	543
1683	620
1684	568
1685	627
1686	566
1687	507
1688	572
1689	553
1690	593
1691	528
1692	570
1693	520
1694	537
1695	545
1696	535
1697	549
1698	541
1699	499
1700	570
1701	535
1702	536
1703	511
1704	535
1705	508
1706	498
1707	549
1708	528
1709	499
1710	518
1711	505
1712	518
1713	536
1714	543
1715	542
1716	485
1717	535
1718	528
1719	480
1720	521
1721	466
1722	484
1723	501
1724	507
1725	478
1726	521
1727	494
1728	485
1729	517
1730	467
1731	473
1732	485
1733	464
1734	504
1735	487
1736	471
1737	448
1738	481
1739	482
1740	500
1741	495
1742	441
1743	482
1744	454
1745	493
1746	422
1747	461
1748	440
1749	445
1750	467
1751	463
1752	422
1753	478
1754	461
1755	436
1756	472
1757	484
1758	434
1759	476
1760	461
1761	450
1762	451
1763	439
1764	440
1765	434
1766	450
1767	401
1768	451
1769	453
1770	418
1771	374
1772	409
1773	444
1774	416
1775	429
1776	431
1777	405
1778	432
1779	424
1780	410
1781	388
1782	420
1783	378
1784	419
1785	416
1786	411
1787	418
1788	402
1789	381
1790	380
1791	408
1792	416
1793	363
1794	367
1795	398
1796	407
1797	396
1798	429
1799	417
1800	384
1801	410
1802	369
1803	419
1804	371
1805	382
1806	395
1807	360
1808	366
1809	387
1810	386
1811	381
1812	379
1813	392
1814	382
1815	408
1816	349
1817	390
1818	331
1819	391
1820	373
1821	373
1822	386
1823	347
1824	325
1825	365
1826	373
1827	360
1828	354
1829	385
1830	355
1831	343
1832	335
1833	338
1834	359
1835	403
1836	325
1837	363
1838	350
1839	328
1840	342
1841	355
1842	317
